name,description,doc_link,concepts
Flask,WSGI web application framework,https://flask.palletsprojects.com/en/stable/,web+framework+web application
Plotly,graphing library for interactive graphs,https://plotly.com/python/,data+plot+graph+chart+data visualization+data science
Pandas,data manipulation and data structures,https://pandas.pydata.org/pandas-docs/stable/user_guide/index.html,data+dataframe+series+data science
WTForms,forms validation and redering library for python,https://wtforms.readthedocs.io/en/3.1.x/,forms+form validation+web development
Flask-WTF,wrapper to integrate Flask and WTForms,https://flask-wtf.readthedocs.io/en/1.2.x/,flask+forms+WTForms
matplotlib,"graphing library for static, animated, interactive visualizations",https://matplotlib.org/stable/,graph+plot+chart+data science+data visualization
Seaborn,data visualization library built on matplotlib,https://seaborn.pydata.org/,graph+plot+chart+data science+data visualization+matplotlib
NumPy,python package for scientific computing,https://numpy.org/doc/stable/user/whatisnumpy.html,scientific computing+array+matrix+data science
tkinter,python interface to Tcl/Tk GUI toolkit,https://docs.python.org/3/library/tkinter.html#,GUI+interface
turtle,python geometric drawing tools for use with tkinter,https://docs.python.org/3/library/turtle.html#,GUI+interface+geometric drawing+tkinter
SQLAlchemy,python SQL toolkit and Object Relational Mapper,https://www.sqlalchemy.org/,database+models+tables+SQL+query+data
random,python module for pseudo-random number generators,https://docs.python.org/3/library/random.html,generator
math,python module for mathmatical functions,https://docs.python.org/3/library/math.html,mathematical
Requests,HTTP library for python,https://docs.python-requests.org/en/latest/,http+get+post+put+patch+delete
smtplib,python module for email functions,https://docs.python.org/3/library/smtplib.html,smtp+email+Simple Mail Transfer Protocol
BeautifulSoup,html and xml parsing / web scraping,https://www.crummy.com/software/BeautifulSoup/bs4/doc/,web scraping+html+xml
Selenium,web browser automation,https://www.selenium.dev/documentation/webdriver/getting_started/,web scraping+automation+web browser
Jinja,html templating engine with python syntax,https://jinja.palletsprojects.com/en/stable/,html+templates+web
Bootstrap,front-end web development toolkit,https://getbootstrap.com/docs/5.3/getting-started/introduction/,web development+styling+html
Bootstrap-Flask,collection of Jinja macros for Bootstrap and Flask for rendering Flask-related data/objects to Bootstrap HTML easily,https://bootstrap-flask.readthedocs.io/en/stable/,Bootstrap+Flask+web development+Jinja+html+templates+forms
Werzeug,WSGI web application utilities,https://werkzeug.palletsprojects.com/en/stable/,security+Flask+web development+utilities
Flask-CKEditor,CKEditor integration for Flask,https://flask-ckeditor.readthedocs.io/en/stable/,text field+forms+flask
Flask-Login,user session manager for Flask,https://flask-login.readthedocs.io/en/latest/,flask+login manager+user management
SciPy,collection of mathmatical algorithms and convenience functions built on NumPy,https://docs.scipy.org/doc/scipy/tutorial/index.html,data+mathematical+algorithms+data science+numpy+stats
Flask-Session,extension for Flask that adds support for server-side sessions,https://pypi.org/project/Flask-Session/,Flask+session+web application
scikit-learn,"python machine learning library built on SciPy, NumPy, and matplotlib",https://scikit-learn.org/stable/index.html,machine learning+models+data analysis+data science+numpy+scipy+matplotlib
PyGithub,python wrapper for GitHub API v3,https://pygithub.readthedocs.io/en/stable/introduction.html,github+git
Flask-SQLAlchemy,flask wrapper for SQLAlchemy,https://flask-sqlalchemy.palletsprojects.com/en/stable/quickstart/,flask+sqlalchemy+SQL+database+models+query
pypdf,extensive python PDF library,https://pypdf.readthedocs.io/en/stable/index.html,pdf
PostgreSQL,object-relational database management system,https://www.postgresql.org/docs/current/,SQL+database
psycopg,PostgreSQL adapter for python,https://www.psycopg.org/psycopg3/,PostgreSQL+SQL+database
pprint,"python module for ""pretty printing""",https://docs.python.org/3/library/pprint.html,pretty print
os,python module for misc operating system interfaces,https://docs.python.org/3/library/os.html,operating system
